traccia,y_Mano,y_predict5,y_predict6,y_predict1,y_predict7,y_predict0,y_predict2,y_predict3,y_predict4
1000111.IV.RAVA..EH,0,0.006220246,0.0045502027,0.0048210183,0.004054552,0.0038111121,0.0026040953,0.0034127869,0.0027810573
1000111.IV.ROVR..HH,1,0.3861947,0.279465,0.42326775,0.42205387,0.20770673,0.36867595,0.2472695,0.33786705
1000111.IV.T0820..EH,0,0.67733103,0.49519482,0.7619614,0.6403102,0.5884053,0.6718493,0.64306754,0.678793
1000111.IV.T0821..EH,1,0.99609405,0.9966241,0.9954674,0.99751616,0.9957178,0.9942123,0.99490094,0.99524504
1000111.IV.TEOL..HH,0,0.012769806,0.011554914,0.011814829,0.017153082,0.011055049,0.006883803,0.008177852,0.0074734613
1000611.IV.RAVA..EH,0,0.08511848,0.061273407,0.047512125,0.088670656,0.054905627,0.045401957,0.03022827,0.04795353
1000631.IV.RAVA..EH,0,0.036355168,0.05221218,0.035773933,0.03421499,0.03303626,0.02727532,0.031703234,0.017841786
1000631.IV.T0822..EH,1,0.96694016,0.92356104,0.94136256,0.9632169,0.8496426,0.92408663,0.83265775,0.92596257
1000631.IV.T0825..EH,1,0.85257506,0.8126312,0.81158656,0.86022997,0.9009958,0.82490873,0.8323447,0.8380269
1000741.IV.RAVA..EH,0,0.015600188,0.018247785,0.013102982,0.01321361,0.012709328,0.00932013,0.009760579,0.010708741
1000801.IV.RAVA..EH,0,0.013321311,0.0119931605,0.009283,0.010662153,0.009648649,0.008744235,0.00972191,0.010580508
1001281.IV.RAVA..EH,0,0.049710486,0.073271304,0.05005848,0.049895823,0.038337678,0.03830371,0.04071434,0.03033342
1001761.IV.NOVE..EH,0,0.5659514,0.3246066,0.4407929,0.5532042,0.5370097,0.48140708,0.6037337,0.43731624
1001761.IV.T0800..HH,1,0.86989033,0.87362415,0.77974874,0.90900785,0.8658745,0.8167878,0.8005142,0.84145844
1001991.IV.T0822..EH,1,0.96319026,0.9635026,0.94675165,0.957972,0.96192527,0.96026576,0.9501956,0.9773285
1002471.IV.ERBM..EH,0,0.7977687,0.69248194,0.7643906,0.8093833,0.69223076,0.72945744,0.7828986,0.73732865
1002471.IV.RAVA..EH,1,0.9900141,0.9916522,0.9903825,0.9941586,0.9894192,0.98616886,0.99091184,0.9894019
1002471.IV.T0800..HH,1,0.9541347,0.97049785,0.91938335,0.9780516,0.9631687,0.96883786,0.92793924,0.9526526
1002471.IV.T0819..EH,0,0.3077062,0.31172532,0.26591954,0.45121652,0.29895958,0.29159078,0.22065167,0.17299283
1002471.IV.ZCCA..HH,0,0.058601443,0.0405675,0.06269204,0.071629256,0.096477754,0.0636264,0.052776236,0.0694165
1002751.IV.MAGA..HH,1,0.4559606,0.57213813,0.475445,0.68699366,0.51152736,0.5366868,0.46550444,0.570785
1002751.IV.ROVR..HH,0,0.31398773,0.20901,0.36510852,0.27868408,0.3083779,0.33904502,0.25362,0.2026303
1004351.IV.ASQU..HH,1,0.99790585,0.99678195,0.9961029,0.99737275,0.9967263,0.9972404,0.9965487,0.9969103
1004351.IV.BDI..HH,0,0.023492387,0.023511888,0.020056194,0.032540366,0.04007292,0.017116144,0.019558648,0.021676613
1004351.IV.CRMI..HH,0,0.011248602,0.011011525,0.0082012145,0.011165072,0.014303499,0.008927038,0.010515968,0.0080546085
1004351.IV.PLMA..HH,0,0.046105526,0.048686873,0.06601813,0.063959226,0.045991223,0.045102168,0.03175508,0.02358536
1004351.GU.POPM..HH,0,0.10217645,0.08629906,0.114831135,0.14778267,0.116317526,0.08448507,0.10081307,0.06878365
1004351.MN.VLC..HH,0,0.0069471234,0.007869485,0.006641223,0.008018697,0.0059322277,0.004120922,0.0066157943,0.0062989276
1004511.IV.NOVE..EH,0,0.24037972,0.24771802,0.19278774,0.18782453,0.15938789,0.16651078,0.18688998,0.18644325
