traccia,y_Mano,y_predict5,y_predict6,y_predict1,y_predict7,y_predict0,y_predict2,y_predict3,y_predict4
1000111.IV.RAVA..EH,0,0.0033225808,0.0011351164,0.0015356512,0.0020856895,0.0024528075,0.0011889895,0.0019381228,0.0011325604
1000111.IV.ROVR..HH,1,0.79291916,0.7791814,0.68772644,0.83071655,0.85049194,0.6577807,0.7349871,0.8449485
1000111.IV.T0820..EH,0,0.8184102,0.68003,0.6998881,0.73746765,0.82829267,0.8010608,0.816461,0.76335514
1000111.IV.T0821..EH,1,0.9981438,0.9985557,0.9978282,0.9979539,0.9964619,0.99674594,0.99599814,0.9982582
1000111.IV.TEOL..HH,0,0.0050982893,0.0071666315,0.0064486833,0.0057205018,0.0050643715,0.0052053584,0.0054629287,0.0035369096
1000611.IV.RAVA..EH,0,0.1381588,0.101828516,0.14764147,0.15649566,0.07601032,0.13074505,0.1263957,0.06542674
1000631.IV.RAVA..EH,0,0.07450581,0.09120597,0.049485188,0.080732524,0.06685722,0.06755226,0.06977031,0.016098827
1000631.IV.T0822..EH,1,0.9944035,0.98610353,0.99063045,0.9883541,0.9759434,0.9800199,0.9733243,0.9877117
1000631.IV.T0825..EH,1,0.47858253,0.4718248,0.4438355,0.5523881,0.7944997,0.293782,0.75525755,0.6644155
1000741.IV.RAVA..EH,0,0.012179179,0.011987821,0.018093692,0.017741675,0.008676158,0.008745637,0.009820856,0.0031132472
1000801.IV.RAVA..EH,0,0.013739057,0.009271818,0.011869026,0.01984379,0.007803378,0.008612791,0.0072818524,0.0058888295
1001281.IV.RAVA..EH,0,0.2716069,0.17447063,0.19927497,0.1506078,0.08772903,0.1749735,0.21809857,0.04113607
1001761.IV.NOVE..EH,0,0.033158757,0.024270033,0.028953986,0.04037317,0.040583838,0.032929886,0.041462224,0.03232992
1001761.IV.T0800..HH,1,0.79259694,0.8885008,0.7535113,0.92976,0.8616629,0.70447266,0.7931502,0.7940901
1001991.IV.T0822..EH,1,0.86399955,0.8278224,0.75945234,0.91673535,0.8801238,0.80483466,0.88432574,0.8930841
1002471.IV.ERBM..EH,0,0.1655188,0.12626699,0.1799309,0.17613016,0.11146,0.1297437,0.12097308,0.16185601
1002471.IV.RAVA..EH,1,0.9849261,0.9903261,0.98890215,0.9874631,0.9887102,0.9656811,0.9794648,0.9727404
1002471.IV.T0800..HH,1,0.98542744,0.9896512,0.97213835,0.99381566,0.98683304,0.9833054,0.9876601,0.9797721
